CATEGORIA,SUB CATEGORIA,MAQUINA,MEDIDAS (mm),TIPO MEDIDA,PESO (kg),FOB SHANGHAI (USD),SEÑA,COSTO CON IVA,VENT SIN IVA,VENT CON IVA,,URL Ficha PDF,
GUILLOTINA,HIDRAULICA GUILLOTINA,16x4000,4600x2100x2500,Maquina,14000,19800,20790,39600,41212.66968325792,45540,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,20x2500,3100x2050x2400,Maquina,13000,17990,18889.5,35980,37445.24886877828,41377,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,20x3200,3800x2150x2400,Maquina,16000,23300,24465,46600,48497.73755656108,53589.99999999999,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,HIDRAULICA GUILLOTINA,20x4000,4600x2200x2800,Maquina,17000,31970,33568.5,63940,66543.89140271493,73531,,https://drive.google.com/file/d/1ClazXrprJ5GH2t0YxR6KQ5tUwJctmU1l/view?usp=drive_link,
GUILLOTINA,ELECTRICA,1.5x1000,1500x750x1300,Empaque,400,1200,1260,2400,2497.737556561086,2760,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,1.5x1300,1800x750x1300,Empaque,420,1250,1312.5,2500,2601.809954751131,2875,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,1.5x1500,2000x750x1300,Empaque,450,1280,1344,2560,2664.2533936651585,2944,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,1.2x2500,2000x750x1300,Empaque,420,2000,2100,4000,4162.89592760181,4600,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,2x2000,2800x1200x1400,Empaque,1020,2600,2730,5200,5411.764705882352,5979.999999999999,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,2x2500,3200x1200x1400,Empaque,1220,2700,2835,5400,5619.909502262442,6209.999999999999,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,1.5x3000,3800x1200x1400,Empaque,1430,3780,3969,7560,7867.873303167421,8694,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,1.5x4000,4800x1200x1400,Empaque,1750,4980,5229,9960,10365.610859728507,11454,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,3x1300,2100x1200x1400,Empaque,830,2000,2100,4000,4162.89592760181,4600,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,3x1500,2300x1200x1400,Empaque,930,2200,2310,4400,4579.185520361991,5060,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,3x1600,2350x1200x1400,Empaque,1020,2280,2394,4560,4745.701357466063,5244,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
GUILLOTINA,ELECTRICA,3x2000,3800x1200x1400,Empaque,1130,2980,3129,5960,6202.714932126696,6853.999999999999,,https://drive.google.com/file/d/1L8_eJBfpcAcjzdmldUEzmcY79U3Cgjep/view?usp=drive_link,
